current.gti,current.dni,current.diff_rad,current.short_rad,current.air_quality.gb-defra-index,current.air_quality.us-epa-index,current.air_quality.pm10,current.air_quality.pm2_5,current.air_quality.so2,current.air_quality.o3,current.air_quality.no2,current.air_quality.co,current.gust_kph,current.gust_mph,current.uv,current.vis_miles,current.vis_km,current.dewpoint_f,current.dewpoint_c,current.heatindex_f,current.heatindex_c,current.windchill_f,current.windchill_c,current.feelslike_f,current.feelslike_c,current.cloud,current.humidity,current.precip_in,current.precip_mm,current.pressure_in,current.pressure_mb,current.wind_dir,current.wind_degree,current.wind_kph,current.wind_mph,current.condition.code,current.condition.icon,current.condition.text,current.is_day,current.temp_f,current.temp_c,current.last_updated,current.last_updated_epoch,location.localtime,location.localtime_epoch,location.tz_id,location.lon,location.lat,location.country,location.region,location.name
0,0,0,0,3,2,35.85,25.35,4.65,148,1.95,208.85,22.1,13.7,0,3,6,53.1,11.7,85.9,29.9,87.5,30.8,91.8,33.2,50,39,0.02,0.53,29.8,1009,NW,311,11.9,7.4,1003,https://cdn.weatherapi.com/weather/64x64/night/116.png,Partly cloudy,0,92.1,33.4,2/4/2026 19:15,1775137500,4/2/2026 19:15,1775137552,Asia/Kolkata,79.95,23.1667,India,Madhya Pradesh,Jabalpur
0,0,0,0,5,3,52.05,44.15,5.55,169,3.35,328.85,10.8,6.7,0,6,10,57.4,14.1,80.7,27.1,80.2,26.8,80.7,27.1,9,46,0,0,29.86,1011,NNE,20,3.6,2.2,1000,https://cdn.weatherapi.com/weather/64x64/night/113.png,Clear,0,80.2,26.8,2/4/2026 19:00,1775136600,4/2/2026 19:15,1775137532,Asia/Kolkata,73.8667,18.5333,India,Maharashtra,Pune
13.45,9.28,13.09,20.4,1,1,7.237,7.037,2.637,54,12.537,254.837,42.4,26.4,0.5,1,2,33,0.6,36.6,2.5,27.8,-2.3,24.9,-4,0,90,0,0,30.27,1025,ENE,61,29.5,18.3,1009,https://cdn.weatherapi.com/weather/64x64/day/122.png,Overcast,1,35.4,1.9,2/4/2026 9:30,1775136600,4/2/2026 9:45,1775137507,America/Toronto,-80.5,42.85,Canada,Ontario,Delhi
0,0,0,0,2,2,49.25,18.65,8.45,142,2.05,180.85,25.7,16,0,3,5,38.5,3.6,87.6,30.9,91.5,33,90,32.2,25,32,0,0,29.71,1006,W,272,12.2,7.6,1030,https://cdn.weatherapi.com/weather/64x64/night/143.png,Mist,0,93.6,34.2,2/4/2026 19:15,1775137500,4/2/2026 19:15,1775137554,Asia/Kolkata,80.917,26.85,India,Uttar Pradesh,Lucknow
0,0,0,0,2,1,43.55,12.45,3.35,116,1.65,139.85,9.1,5.7,0,6,10,43,6.1,68.8,20.4,68.8,20.4,68.8,20.4,4,39,0,0,29.88,1012,NE,51,5.4,3.4,1000,https://cdn.weatherapi.com/weather/64x64/night/113.png,Clear,0,68.8,20.4,2/4/2026 19:00,1775136600,4/2/2026 19:15,1775137508,Asia/Kolkata,77.1722,31.1033,India,Himachal Pradesh,Shimla
0,0,0,0,2,2,31.35,23.25,20.65,150,4.65,154.85,18.7,11.6,0,2,4,68.6,20.3,84.1,28.9,80.6,27,88.2,31.2,50,66,0,0,29.88,1012,NW,306,13.3,8.3,1009,https://cdn.weatherapi.com/weather/64x64/night/122.png,Overcast,0,83.1,28.4,2/4/2026 19:00,1775136600,4/2/2026 19:15,1775137509,Asia/Kolkata,72.826,18.975,India,Maharashtra,Mumbai
